Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2013-04-17,Uluru,14.9,31.9,0,NA,NA,SSE,28,ESE,SSW,13,7,38,21,1015.2,1011.3,NA,NA,21.8,30.5,No,0,No
2013-04-18,Uluru,16,32.6,0,NA,NA,ENE,31,E,NNW,22,7,32,19,1015.6,1012.4,NA,NA,22.7,32,No,0,No
2013-04-19,Uluru,16.1,33.5,0,NA,NA,ENE,31,ESE,ESE,13,9,33,19,1017.6,1013.6,NA,NA,22.7,33,No,0,No
2013-04-20,Uluru,15.9,36,0,NA,NA,NNW,30,ESE,WSW,9,15,35,15,1015,1010,NA,NA,23,35,No,0,No
2013-04-21,Uluru,15.4,33.8,0,NA,NA,S,39,SSW,WSW,24,15,31,26,1010.5,1008.1,NA,NA,25.2,33.2,No,0,No
2013-04-22,Uluru,15.7,31.2,0,NA,NA,ENE,31,E,E,19,11,46,29,1014.1,1010.9,NA,NA,23.2,29.5,No,0,No
2013-04-23,Uluru,16.3,29.9,0,NA,NA,ENE,39,E,NE,22,15,47,28,1017.4,1014.4,NA,NA,21.7,29.3,No,0,No
2013-04-24,Uluru,14.6,29.3,0,NA,NA,E,39,ESE,SE,19,19,41,24,1021.2,1016.9,NA,NA,20.5,27.7,No,0,No
2013-04-25,Uluru,13.8,28.9,0,NA,NA,ENE,39,ESE,ENE,19,20,40,21,1023,1019.2,NA,NA,19.2,28,No,0,No
2013-04-26,Uluru,11,29.6,0,NA,NA,ENE,48,ENE,NE,24,19,34,14,1022.7,1018.5,NA,NA,20.7,28.2,No,0,No
2013-04-27,Uluru,8.4,29.2,0,NA,NA,NE,22,ESE,SE,7,11,27,16,1020.6,1016.2,NA,NA,19.1,28.2,No,0,No
2013-04-28,Uluru,11,30.8,0,NA,NA,S,28,SE,SW,7,2,36,12,1019.1,1015.1,NA,NA,17.1,29.7,No,0,No
2013-04-29,Uluru,8.4,32.6,0,NA,NA,NNW,24,SSE,NNE,11,7,32,10,1019.2,1015.7,NA,NA,18.1,32.4,No,0,No
2013-04-30,Uluru,11.9,32.8,0,NA,NA,SSE,37,E,ENE,9,15,21,10,1020.2,1016.1,NA,NA,22.4,31.7,No,0,No
2013-05-01,Uluru,11.6,32.5,0,NA,NA,E,37,SE,ENE,11,19,21,11,1020.2,1016.2,NA,NA,20.5,31.6,No,0,No
2013-05-02,Uluru,12.4,32.4,0,NA,NA,ESE,41,E,E,17,17,21,12,1019.6,1016,NA,NA,21.6,31.7,No,0,No
2013-05-03,Uluru,14.1,32.8,0,NA,NA,NNE,35,ESE,ENE,15,11,33,15,1019.9,1016,NA,NA,20.5,31.4,No,0,No
2013-05-04,Uluru,14.3,33,0,NA,NA,NNE,28,SE,ENE,11,4,33,15,1020.5,1016,NA,NA,21.7,32.6,No,0,No
2013-05-05,Uluru,15.9,29,0,NA,NA,SW,37,SSW,N,22,6,52,28,1019.3,1014.8,NA,NA,21.6,28.6,No,0,No
2013-05-06,Uluru,11.9,31.3,0,NA,NA,ENE,22,ESE,ESE,11,9,44,19,1017.8,1013.3,NA,NA,21.4,30.3,No,0,No
2013-05-07,Uluru,12.1,32.6,0,NA,NA,NNE,43,ESE,NE,11,15,36,16,1016.6,1012.8,NA,NA,20.6,31.8,No,0,No
2013-05-08,Uluru,14.4,32.3,0,NA,NA,ENE,33,ESE,NE,15,9,30,16,1018.8,1014.2,NA,NA,21.3,31.9,No,0,No
2013-05-09,Uluru,13.8,30.9,0,NA,NA,NNE,31,SE,NNE,7,9,39,21,1018.8,1015.5,NA,NA,20.6,29.9,No,0,No
2013-05-10,Uluru,13.4,31.9,0,NA,NA,NW,26,S,NNE,9,13,61,22,1019.4,1014.7,NA,NA,17.1,31,No,0,No
2013-05-11,Uluru,15.6,31.3,0,NA,NA,S,50,SSE,S,15,19,51,34,1016.9,1012.9,NA,NA,21.4,28.7,No,4,Yes
2013-05-12,Uluru,14.3,20.2,4,NA,NA,SE,30,SSE,SE,11,15,87,60,1021.9,1019.6,NA,NA,15.7,19.6,Yes,0,No
2013-05-13,Uluru,8.1,20.3,0,NA,NA,SSE,35,SSE,S,20,17,66,37,1024.6,1020.1,NA,NA,13.3,19.2,No,0,No
2013-05-14,Uluru,7.8,17,0,NA,NA,ESE,31,ESE,SE,13,19,59,39,1021.9,1017.8,NA,NA,12,16.2,No,0,No
2013-05-15,Uluru,10.5,17.6,0,NA,NA,NNE,30,S,NE,9,9,65,52,1018.9,1015.2,NA,NA,12.1,16,No,0,No
2013-05-16,Uluru,3.3,21.6,0,NA,NA,E,28,SE,SSE,6,11,79,30,1018.9,1015.9,NA,NA,10.3,20.5,No,0,No
2013-05-17,Uluru,5.1,23.1,0,NA,NA,NE,35,SE,E,13,13,59,38,1019.3,1015.8,NA,NA,12.5,21.3,No,0,No
2013-05-18,Uluru,5.5,23.7,0,NA,NA,E,30,SE,SE,9,2,60,25,1020.9,1016.4,NA,NA,12.4,22.5,No,0,No
2013-05-19,Uluru,11.5,23.4,0,NA,NA,NNW,28,ESE,NNE,4,6,57,55,1018.1,1013.8,NA,NA,15.9,22.6,No,0,No
2013-05-20,Uluru,13.6,20.3,0,NA,NA,NE,33,ENE,NNE,6,17,69,100,1014.2,1011.6,NA,NA,17.6,17.8,No,42.4,Yes
2013-05-21,Uluru,16.6,22.3,42.4,NA,NA,N,39,SW,WSW,11,20,95,53,1010,1008.5,NA,NA,17.7,21,Yes,0,No
2013-05-22,Uluru,10,20.9,0,NA,NA,SSW,35,SSW,S,20,19,76,54,1016.5,1015.8,NA,NA,14.6,20,No,0,No
2013-05-23,Uluru,9.9,18.5,0,NA,NA,SE,39,SSE,SE,24,19,69,47,1023.5,1020.8,NA,NA,12.8,17.6,No,0,No
2013-05-24,Uluru,8.3,19.8,0,NA,NA,E,46,ESE,E,20,26,75,39,1026.5,1023.2,NA,NA,11.2,18.9,No,0,No
2013-05-25,Uluru,8.3,20.4,0,NA,NA,NE,48,ESE,E,24,28,68,32,1026.5,1022.8,NA,NA,12.1,19.5,No,0,No
2013-05-26,Uluru,5.9,20.5,0,NA,NA,ENE,46,E,ENE,28,26,58,27,1025,1020.3,NA,NA,11.6,19.9,No,0,No
2013-05-27,Uluru,5.6,20.8,0,NA,NA,E,39,ESE,E,13,13,60,30,1023.1,1018.9,NA,NA,10.5,19.5,No,0,No
2013-05-28,Uluru,5.8,24.5,0,NA,NA,N,30,E,NNW,9,11,61,27,1020.3,1016.5,NA,NA,11.8,24.1,No,0,No
2013-05-29,Uluru,7.3,27.4,0,NA,NA,N,31,SE,NW,7,13,59,23,1018.5,1014.3,NA,NA,14.4,27.2,No,0,No
2013-05-30,Uluru,14.4,24.7,0,NA,NA,NNE,24,ENE,E,13,2,61,44,1017.3,1013.8,NA,NA,18.5,23.6,No,1.6,Yes
2013-05-31,Uluru,16.1,23.6,1.6,NA,NA,WSW,28,ENE,W,4,11,90,59,1016.9,1014.6,NA,NA,17,23,Yes,0.2,No
2013-06-01,Uluru,12.1,13.4,0.2,NA,NA,SSW,31,S,S,19,13,67,64,1022.9,1020.8,NA,NA,12.2,13.1,No,0,No
2013-06-02,Uluru,10.6,17.5,0,NA,NA,ESE,41,SE,ESE,17,24,78,57,1025,1022.5,NA,NA,13.2,16.9,No,0,No
2013-06-03,Uluru,11,15.9,0,NA,NA,ESE,41,E,E,24,22,71,55,1025.8,1023,NA,NA,11.9,15.3,No,0,No
2013-06-04,Uluru,11.2,14.5,0,NA,NA,E,33,E,E,20,17,62,65,1022.4,1019,NA,NA,11.9,13.4,No,4,Yes
2013-06-05,Uluru,10.8,16.4,4,NA,NA,ENE,20,E,N,9,6,89,68,1019.3,1016.3,NA,NA,11.7,16.2,Yes,2.8,Yes
2013-06-06,Uluru,11.7,15.1,2.8,NA,NA,E,20,E,SE,9,6,92,76,1020.8,1019.4,NA,NA,13.5,14.7,Yes,0.4,No
2013-06-07,Uluru,12.2,18.9,0.4,NA,NA,E,37,SE,ESE,11,19,87,65,1025.7,1023.1,NA,NA,13.8,18.2,No,0,No
2013-06-08,Uluru,13.6,19.6,0,NA,NA,E,33,E,E,24,17,88,65,1025.4,1020.9,NA,NA,14.6,19,No,0,No
2013-06-09,Uluru,10.9,24.3,0,NA,NA,E,24,SE,S,15,9,78,44,1022.2,1018.1,NA,NA,14,23.3,No,0,No
2013-06-10,Uluru,10.2,26.2,0,NA,NA,ENE,24,ESE,NNE,15,7,76,37,1019.9,1016,NA,NA,15.2,25.2,No,0,No
2013-06-11,Uluru,11.9,21.5,0,NA,NA,S,43,S,SSW,24,24,78,34,1019,1017.6,NA,NA,16.2,21,No,0.2,No
2013-06-12,Uluru,3.1,17.3,0.2,NA,NA,S,33,S,SSE,9,15,81,45,1022.4,1017.8,NA,NA,8.7,16.5,No,0,No
2013-06-13,Uluru,8.1,19,0,NA,NA,ESE,30,SSE,E,9,13,73,38,1019.4,1016.1,NA,NA,10.9,18.1,No,0,No
2013-06-14,Uluru,5.3,17.9,0,NA,NA,ESE,43,ESE,E,20,24,71,38,1021.7,1018.1,NA,NA,9.4,17.2,No,0,No
2013-06-15,Uluru,9.2,17.1,0,NA,NA,E,33,ESE,ESE,15,15,66,42,1021.9,1018.3,NA,NA,10.3,16.4,No,0.2,No
2013-06-16,Uluru,9,15.7,0.2,NA,NA,ESE,30,ESE,ESE,17,9,75,53,1020.6,1016.5,NA,NA,10.2,15.4,No,0.2,No
2013-06-17,Uluru,9.7,18.7,0.2,NA,NA,E,20,SE,E,9,11,81,45,1017.6,1014.4,NA,NA,11.5,18,No,0.4,No
2013-06-18,Uluru,9.4,18.4,0.4,NA,NA,E,26,ESE,E,17,19,64,41,1018.1,1016.4,NA,NA,11.6,18,No,2.4,Yes
2013-06-19,Uluru,9.7,11.5,2.4,NA,NA,SE,26,ESE,ESE,15,13,89,85,1020.2,1019.5,NA,NA,10.1,10.6,Yes,2.6,Yes
2013-06-20,Uluru,7.7,16.2,2.6,NA,NA,SE,28,E,SSE,11,13,92,56,1023.1,1020.6,NA,NA,9.8,15.2,Yes,0.2,No
2013-06-21,Uluru,3.5,17.9,0.2,NA,NA,SSW,19,S,SSE,4,7,94,36,1023.2,1021.3,NA,NA,7.8,16.6,No,0,No
2013-06-22,Uluru,3.5,18.6,0,NA,NA,ESE,19,S,NNW,9,7,84,34,1023.5,1021.1,NA,NA,8.3,18.3,No,0,No
2013-06-23,Uluru,-0.1,18.2,0,NA,NA,E,28,SE,SE,9,7,81,31,1025,1020.9,NA,NA,6.7,17.2,No,0,No
2013-06-24,Uluru,4.9,18,0,NA,NA,ENE,20,SE,WNW,9,4,63,30,1023.1,1020.4,NA,NA,9.1,17.5,No,0.8,No
2013-06-25,Uluru,9.1,19.3,0.8,NA,NA,NNW,31,ESE,NNW,9,13,78,31,1021.6,1019.4,NA,NA,11.5,19.1,No,1.4,Yes
2013-06-26,Uluru,10.7,13.8,1.4,NA,NA,NNW,24,E,NNE,9,9,88,70,1018.7,1017.1,NA,NA,11.3,13.6,Yes,0.8,No
2013-06-27,Uluru,11,17.8,0.8,NA,NA,ENE,24,ESE,E,11,11,86,61,1018.8,1016.8,NA,NA,11.6,16.7,No,0,No
2013-06-28,Uluru,8.7,20.1,0,NA,NA,ESE,35,ESE,E,19,22,64,38,1022.4,1020.8,NA,NA,12.3,18.8,No,0,No
2013-06-29,Uluru,7.6,19.5,0,NA,NA,ENE,48,SE,E,19,30,65,34,1029,1026.9,NA,NA,10.6,18.9,No,0,No
2013-06-30,Uluru,6.6,18.9,0,NA,NA,E,46,ESE,ESE,20,24,65,29,1032.2,1028.8,NA,NA,9.8,17.7,No,0,No
2013-07-01,Uluru,4.4,19.1,0,NA,NA,ESE,43,SE,E,15,24,70,34,1030.6,1026.2,NA,NA,8.6,18.7,No,0,No
2013-07-02,Uluru,3.8,19.5,0,NA,NA,E,35,ESE,E,15,17,71,33,1027.8,1023.2,NA,NA,9,18.7,No,0,No
2013-07-03,Uluru,1.5,21.3,0,NA,NA,WNW,22,SE,WSW,9,7,69,28,1023.8,1019.5,NA,NA,8.2,19.9,No,0,No
2013-07-04,Uluru,0.4,23,0,NA,NA,WNW,28,NA,NW,0,11,64,24,1019.9,1015.4,NA,NA,8.5,22,No,0,No
2013-07-05,Uluru,6.3,18.7,0,NA,NA,E,31,SSE,E,15,17,51,37,1022.5,1019.4,NA,NA,10.5,17.7,No,0,No
2013-07-06,Uluru,5.5,21.5,0,NA,NA,E,26,SE,ENE,17,9,67,26,1023.4,1020.1,NA,NA,8.6,20.9,No,0,No
2013-07-07,Uluru,4.7,22.5,0,NA,NA,NE,43,SE,NE,13,19,54,22,1025.9,1023,NA,NA,9.1,22.2,No,0,No
2013-07-08,Uluru,5.7,19.2,0,NA,NA,E,48,E,E,22,31,47,26,1029.3,1025.6,NA,NA,10.6,18.7,No,0,No
2013-07-09,Uluru,7.7,11.5,0,NA,NA,E,39,ESE,SE,17,17,92,80,1027.4,1023.6,NA,NA,8.2,10.7,No,0,No
2013-07-10,Uluru,8.1,20.8,0,NA,NA,ENE,31,E,E,17,17,99,57,1024.6,1020.3,NA,NA,9.2,18.7,No,0,No
2013-07-11,Uluru,9,23.1,0,NA,NA,E,35,SE,ENE,15,13,92,49,1024.4,1019.7,NA,NA,12.9,22.1,No,0,No
2013-07-12,Uluru,10.2,27.9,0,NA,NA,WNW,44,ESE,NNW,13,22,85,30,1020.5,1015.8,NA,NA,14.3,27.8,No,0,No
2013-07-13,Uluru,10.5,28.4,0,NA,NA,WNW,46,NA,NW,0,24,80,33,1016.6,1014.5,NA,NA,15.5,27.7,No,0,No
2013-07-14,Uluru,8.7,24.8,0,NA,NA,SE,26,SSE,NE,9,9,61,33,1021.2,1018.2,NA,NA,14.1,24.3,No,0,No
2013-07-15,Uluru,8,23,0,NA,NA,E,39,ESE,ENE,13,20,70,39,1024.1,1020,NA,NA,12.4,21.9,No,0,No
2013-07-16,Uluru,7.5,26.4,0,NA,NA,NNW,31,ESE,N,13,9,74,35,1021.6,1016.4,NA,NA,12.3,25.1,No,0,No
2013-07-17,Uluru,8.4,28.6,0,NA,NA,NNW,67,W,NW,4,37,77,22,1013,1007.7,NA,NA,13.3,27.3,No,0,No
2013-07-18,Uluru,4.4,19.9,0,NA,NA,WSW,41,N,SW,7,15,54,25,1016,1013.5,NA,NA,8.9,19.3,No,0,No
2013-07-19,Uluru,2.3,15.8,0,NA,NA,SSE,37,S,SSE,19,22,72,39,1021.2,1020.7,NA,NA,9.2,14.7,No,0,No
2013-07-20,Uluru,1.5,16.8,0,NA,NA,SE,44,SSE,SE,20,17,64,32,1025.8,1021.2,NA,NA,9.3,16.1,No,0,No
2013-07-21,Uluru,0.9,16.1,0,NA,NA,SSE,28,S,S,9,9,74,38,1023.7,1020.1,NA,NA,9.5,15.3,No,0,No
2013-07-22,Uluru,-0.2,17.4,0,NA,NA,E,33,SSE,E,11,11,63,30,1026.4,1023.7,NA,NA,7.3,16.9,No,0,No
2013-07-23,Uluru,2.9,17.9,0,NA,NA,E,41,E,E,19,20,62,27,1030.6,1027.4,NA,NA,7.6,17.3,No,0,No
2013-07-24,Uluru,2.3,18.8,0,NA,NA,E,50,E,ENE,15,13,55,25,1030.4,1026.2,NA,NA,7.7,18,No,0,No
2013-07-25,Uluru,-0.9,20.3,0,NA,NA,ENE,31,SE,E,11,11,54,21,1027.9,1023.7,NA,NA,7.4,19.5,No,0,No
2013-07-26,Uluru,1.4,21.9,0,NA,NA,NNW,28,ESE,NNE,11,15,54,16,1024.5,1019.5,NA,NA,9,20.9,No,0,No
2013-07-27,Uluru,-0.1,25.2,0,NA,NA,NW,54,NA,WNW,0,22,44,15,1019.1,1014.9,NA,NA,10.2,24.4,No,0,No
2013-07-28,Uluru,2.8,24.9,0,NA,NA,SW,33,S,SSW,6,7,38,23,1019.6,1017.1,NA,NA,13.1,23.3,No,0,No
2013-07-29,Uluru,3.5,22.9,0,NA,NA,E,39,SSE,ENE,11,15,57,27,1024,1020.8,NA,NA,11.2,22.5,No,0,No
2013-07-30,Uluru,6.1,21.3,0,NA,NA,E,52,E,E,20,26,58,29,1024.4,1019.7,NA,NA,11.5,20.5,No,0,No
2013-07-31,Uluru,5.8,22.5,0,NA,NA,ENE,35,E,SSE,20,11,50,26,1021.9,1017.8,NA,NA,11.6,21.3,No,0,No
2013-08-01,Uluru,5.6,24.8,0,NA,NA,SSW,28,ESE,ENE,9,7,48,24,1020,1016.7,NA,NA,11.7,23.1,No,0,No
2013-08-02,Uluru,6.5,23.8,0,NA,NA,E,33,SE,ESE,15,15,41,18,1023.9,1021.4,NA,NA,13.9,22.8,No,0,No
2013-08-03,Uluru,2.1,22.7,0,NA,NA,SSW,30,SE,SSE,7,9,54,25,1026.8,1022.8,NA,NA,11,22.2,No,0,No
2013-08-04,Uluru,0.7,23.5,0,NA,NA,ESE,30,SE,E,4,13,50,21,1025.6,1021.2,NA,NA,10.8,22.7,No,0,No
2013-08-05,Uluru,1.9,25.2,0,NA,NA,NW,33,S,WNW,9,20,49,15,1023.1,1018.3,NA,NA,10.9,24,No,0,No
2013-08-06,Uluru,1.3,27.2,0,NA,NA,W,33,N,W,2,20,38,12,1020.4,1016.7,NA,NA,12.6,26.2,No,0,No
2013-08-07,Uluru,3.9,27,0,NA,NA,SW,28,SE,SSE,6,13,37,15,1020.7,1017.3,NA,NA,14.1,25.9,No,0,No
2013-08-08,Uluru,5.9,27.9,0,NA,NA,NE,22,ESE,NNW,6,9,43,15,1020.6,1016.5,NA,NA,14.2,27.2,No,0,No
2013-08-09,Uluru,6.2,29.6,0,NA,NA,NNW,35,SSE,WNW,6,17,44,12,1018.6,1015.3,NA,NA,14.2,28.4,No,0,No
2013-08-10,Uluru,6.7,30.5,0,NA,NA,NNW,35,SE,NNW,11,19,36,12,1017.7,1014.9,NA,NA,15.8,29.6,No,0,No
2013-08-11,Uluru,6.2,31.5,0,NA,NA,NW,43,S,W,7,20,39,11,1015.6,1012.2,NA,NA,15.5,30.5,No,0,No
2013-08-12,Uluru,11,26.1,0,NA,NA,SE,33,SE,NE,22,11,55,33,1017.7,1015.3,NA,NA,17.6,25.1,No,0,No
2013-08-13,Uluru,8.6,29.3,0,NA,NA,NW,35,E,NW,15,22,49,20,1017.9,1013.2,NA,NA,16.9,28.7,No,0,No
2013-08-14,Uluru,10.3,25.8,0,NA,NA,S,43,SE,SSE,9,17,28,17,1018.5,1017,NA,NA,18.6,25.1,No,0,No
2013-08-15,Uluru,9.3,26.4,0,NA,NA,E,48,E,NE,28,19,38,21,1020.4,1014.2,NA,NA,14.9,24.9,No,0,No
2013-08-16,Uluru,13.9,25.5,0,NA,NA,WSW,48,WNW,W,13,15,36,21,1010.7,1011,NA,NA,19.7,23.5,No,0,No
2013-08-17,Uluru,1.8,22.2,0,NA,NA,SSW,28,SSE,ESE,9,11,31,12,1020.8,1017.2,NA,NA,11.6,21.4,No,0,No
2013-08-18,Uluru,2.2,26,0,NA,NA,SSE,24,SSE,SE,7,11,26,9,1021,1017.2,NA,NA,13,24.6,No,0,No
2013-08-19,Uluru,5.6,24.9,0,NA,NA,ESE,43,ESE,ESE,26,17,36,18,1021.7,1017.7,NA,NA,15,23.6,No,0,No
2013-08-20,Uluru,8.8,23,0,NA,NA,E,43,ESE,E,26,17,53,29,1022.4,1018.8,NA,NA,13,22.1,No,0,No
2013-08-21,Uluru,7.1,22.7,0,NA,NA,S,30,SE,SE,13,9,47,23,1022.4,1019,NA,NA,12.4,21.2,No,0,No
2013-08-22,Uluru,2.9,21.6,0,NA,NA,SSE,35,SSE,SSW,11,13,37,23,1024.7,1021.6,NA,NA,13.8,20.6,No,0,No
2013-08-23,Uluru,2,23.2,0,NA,NA,SE,31,SE,SE,13,9,47,21,1026.3,1022.4,NA,NA,12.7,22.5,No,0,No
2013-08-24,Uluru,8,24.6,0,NA,NA,ESE,33,E,ENE,19,9,40,19,1025.8,1021.2,NA,NA,15.3,24.2,No,0,No
2013-08-25,Uluru,5.2,25.4,0,NA,NA,ENE,31,E,N,9,11,40,15,1024.7,1020.1,NA,NA,15,24.4,No,0,No
